Game 269,07/06/2023,Thursday,6:30 pm,Wayland,Jamaica Plain,Billings Field,Scheduled
Game 270,07/06/2023,Thursday,7:00 pm,Belmont,Billerica,Locke School - Fielding Field,Scheduled
Game 272,07/06/2023,Thursday,7:00 pm,Needham,Chelmsford Maroon,Volunteer Field,Scheduled
Game 237,07/07/2023,Friday,5:45 pm,Reading Black,Haverhill,Symonds Field,Scheduled
Game 248,07/07/2023,Friday,5:45 pm,Bedford,Acton-Boxborough,ABRHS Field 2,Scheduled
Game 274,07/10/2023,Monday,5:00 pm,Haverhill,Marblehead,Seaside Park,Rain-Out
Game 276,07/10/2023,Monday,5:45 pm,North Andover,Reading Black,Morton Field,Rain-Out
Game 283,07/10/2023,Monday,5:45 pm,Chelmsford Maroon,Wayland,Wayland High School,Rain-Out
Game 279,07/11/2023,Tuesday,5:00 pm,Waltham,Belmont,Nipper Maher Field,Scheduled
Game 282,07/11/2023,Tuesday,5:45 pm,Billerica,Winchester,Skillings Field,Scheduled
Game 286,07/11/2023,Tuesday,5:45 pm,Andover,Cambridge,Rindge Field,Scheduled
Game 240,07/11/2023,Tuesday,5:45 pm,North End,Reading Black,Symonds Field,Scheduled
Game 280,07/11/2023,Tuesday,6:00 pm,Jamaica Plain,Lincoln-Sudbury,Haskell Field,Scheduled
Game 287,07/12/2023,Wednesday,5:45 pm,Reading Black,Andover,Andover High School,Scheduled
Game 290,07/12/2023,Wednesday,5:45 pm,Brookline,Medford,Playstead Park,Scheduled
Game 292,07/12/2023,Wednesday,5:45 pm,Acton-Boxborough,Wayland,Wayland High School,Scheduled
Game 294,07/12/2023,Wednesday,5:45 pm,Jamaica Plain,Needham,Warner Field DeFazio Park,Scheduled
Game 295,07/12/2023,Wednesday,5:45 pm,Billerica,Waltham,Cacciatore Field ,Scheduled
Game 296,07/12/2023,Wednesday,5:45 pm,Bedford,Belmont,Town Field,Scheduled
Game 362,07/12/2023,Wednesday,5:45 pm,Haverhill,North Andover,Grogans Field,Scheduled
