Game 330,Chelmsford Maroon,19,Acton-Boxborough,1,07/19/2023
Game 228,Reading Red,4,Reading Black,1,07/20/2023
Game 236,Chelmsford Maroon,0,Billerica,12,07/20/2023
Game 322,North End,7,Medford,8,07/20/2023
Game 324,Haverhill,2,Brookline,14,07/20/2023
Game 331,Jamaica Plain,3,Chelmsford Black,4,07/20/2023
Game 332,Winchester,3,Waltham,12,07/20/2023
Game 333,North End,1,Melrose,7,07/20/2023
Game 334,Haverhill,0,Medford,7,07/20/2023
Game 335,Reading Black,5,Reading Red,8,07/20/2023
Game 337,Marblehead,4,Brookline,6,07/20/2023
Game 340,Belmont,3,Lincoln-Sudbury,10,07/20/2023
Game 343,Jamaica Plain,7,Bedford,11,07/20/2023
Game 344,Billerica,14,Chelmsford Maroon,2,07/20/2023
Game 217,Reading Red,11,Marblehead,1,07/21/2023
Game 323,Cambridge,15,North Andover,3,07/21/2023
Game 336,Cambridge,4,Andover,3,07/21/2023
Game 338,North Andover,12,Winthrop,18,07/21/2023
Game 339,Needham,8,Waltham,10,07/21/2023
Game 284,Needham,11,Acton-Boxborough,1,07/23/2023
Game 346,North End,0,Andover,7,07/23/2023
Game 347,North Andover,0,Brookline,7,07/23/2023
Game 213,Haverhill,0,Cambridge,7,07/24/2023
Game 276,North Andover,0,Reading Black,7,07/24/2023
Game 278,North End,0,Reading Red,7,07/24/2023
Game 345,Medford,3,Reading Black,4,07/24/2023
Game 348,Marblehead,12,Reading Red,9,07/24/2023
Game 349,Winthrop,0,Melrose,12,07/24/2023
Game 351,Needham,8,Chelmsford Black,2,07/24/2023
Game 352,Billerica,15,Bedford,10,07/24/2023
Game 357,Cambridge,7,Haverhill,0,07/24/2023
Game 400,North End,0,Cambridge,7,07/24/2023
Game 230,Winthrop,7,North Andover,0,07/25/2023
Game 353,Jamaica Plain,11,Acton-Boxborough,6,07/25/2023
Game 354,Chelmsford Maroon,6,Waltham,7,07/25/2023
Game 355,Wayland,1,Lincoln-Sudbury,5,07/25/2023
Game 363,Winchester,0,Jamaica Plain,7,07/25/2023
Game 269,Wayland,13,Jamaica Plain,2,07/26/2023
Game 309,Marblehead,0,Reading Black,5,07/26/2023
Game 350,Belmont,2,Winchester,13,07/26/2023
Game 356,North Andover,0,Melrose,12,07/26/2023
Game 358,Reading Black,5,Marblehead,10,07/26/2023
Game 359,Reading Red,0,Andover,1,07/26/2023
Game 360,Brookline,5,North End,2,07/26/2023
Game 361,Medford,10,Winthrop,4,07/26/2023
Game 364,Chelmsford Black,5,Acton-Boxborough,8,07/26/2023
Game 367,Belmont,8,Chelmsford Maroon,4,07/26/2023
Game 368,Lincoln-Sudbury,7,Billerica,6,07/26/2023
Game 273,Melrose,12,Medford,16,07/27/2023
Game 274,Haverhill,0,Marblehead,7,07/27/2023
Game 275,Brookline,0,Andover,9,07/27/2023
Game 365,Waltham,9,Wayland,1,07/27/2023
Game 370,Haverhill,0,Marblehead,7,07/27/2023
Game 373,Reading Red,24,North End,2,07/27/2023
Game 374,North Andover,0,Reading Black,25,07/27/2023
Game 380,Billerica,1,Winchester,0,07/27/2023
Game 292,Acton-Boxborough,2,Wayland,14,07/28/2023
Game 342,Chelmsford Black,2,Wayland,3,07/28/2023
Game 366,Bedford,6,Needham,2,07/28/2023
Game 369,Medford,8,Melrose,6,07/28/2023
Game 242,Brookline,5,Reading Red,6,07/30/2023
Game 325,Winthrop,1,Reading Red,13,07/30/2023
Game 285,Melrose,7,Haverhill,6,07/31/2023
Game 381,Andover,23,North Andover,0,07/31/2023
Game 383,Haverhill,4,Melrose,6,07/31/2023
Game 384,Reading Black,5,North End,1,07/31/2023
Game 386,Reading Red,11,Brookline,4,07/31/2023
Game 391,Wayland,2,Belmont,4,07/31/2023
Game 392,Acton-Boxborough,2,Bedford,15,07/31/2023
