Game 58,07/18/2023,Tuesday,7:45 pm,Medford/North End,Waltham,Nipper Maher,Scheduled
Game 63,07/19/2023,Wedneday,6:45 pm,Belmont/Watertown,Waltham,Nipper Maher,Scheduled
Game 35,07/19/2023,Wednesday,7:30 pm,Billerica,Cambridge,St Peters,Scheduled
Game 64,07/19/2023,Wednesday,7:30 pm,Acton-Boxborough,Cambridge,St Peters,Cancelled
Game 16,07/20/2023,Thursday,5:45 pm,Medford/North End,Billerica,East Boston Memorial Stadium ,Scheduled
Game 65,07/20/2023,Thursday,5:45 pm,Reading Red,Reading Black,Morton Field,Scheduled
Game 67,07/20/2023,Thursday,5:45 pm,The Base,Woburn,Woburn High School,Cancelled
Game 69,07/20/2023,Thursday,5:45 pm,Acton-Boxborough,Newton,Newton North High School,Cancelled
Game 70,07/20/2023,Thursday,5:45 pm,Waltham,Belmont/Watertown,Belmont Hill School,Scheduled
Game 66,07/20/2023,Thursday,7:30 pm,Brookline,Cambridge,St Peters,Scheduled
Game 68,07/20/2023,Thursday,7:45 pm,Billerica,Medford/North End,East Boston Memorial Stadium,Scheduled
Game 23,07/23/2023,Sunday,7:30 pm,Waltham,Cambridge,St Peters,Scheduled
Game 71,07/24/2023,Monday,5:45 pm,Brookline,The Base,English HS in JP,Scheduled
Game 72,07/24/2023,Monday,5:45 pm,Reading Red,Billerica,Locke - Boutwell Field,Scheduled
Game 73,07/24/2023,Monday,5:45 pm,Waltham,Newton,Newton North High School,Scheduled
Game 74,07/24/2023,Monday,5:45 pm,Acton-Boxborough,Woburn,Woburn High School,Cancelled
Game 75,07/24/2023,Monday,5:45 pm,Belmont/Watertown,Reading Black,Morton Field,Scheduled
Game 77,07/25/2023,Tuesday,5:45 pm,Woburn,Billerica,Locke - Boutwell Field,Scheduled
Game 79,07/25/2023,Tuesday,5:45 pm,Newton,Reading Red,Morton Field,Rain-Out
Game 80,07/25/2023,Tuesday,5:45 pm,Brookline,Belmont/Watertown,Warren Field,Rain-Out
Game 78,07/25/2023,Tuesday,6:45 pm,Reading Black,Medford/North End,East Boston Memorial Stadium,Rain-Out
Game 76,07/25/2023,Tuesday,7:00 pm,The Base,Acton-Boxborough,ABRHS Field 1,Cancelled
Game 39,07/26/2023,Wednesday,5:45 pm,Reading Red,Woburn,Woburn High School,Scheduled
Game 83,07/26/2023,Wednesday,6:45 pm,The Base,Waltham,Nipper Maher,Scheduled
Game 85,07/26/2023,Wednesday,7:00 pm,Newton,Acton-Boxborough,ABRHS Field 1,Cancelled
Game 84,07/26/2023,Wednesday,7:30 pm,Medford/North End,Cambridge,St Peters,Scheduled
Game 86,07/27/2023,Thursday,5:45 pm,Brookline,Reading Black,Washington Park,Rain-Out
Game 88,07/27/2023,Thursday,5:45 pm,Billerica,Newton,Newton North High School,Scheduled
Game 89,07/27/2023,Thursday,5:45 pm,Medford/North End,Belmont/Watertown,Belmont Hill School,Scheduled
Game 90,07/27/2023,Thursday,5:45 pm,Woburn,Reading Red,Morton Field,Scheduled
Game 87,07/27/2023,Thursday,7:00 pm,Cambridge,Acton-Boxborough,ABRHS Field 1,Cancelled
Game 81,07/30/2023,Sunday,7:00 pm,Cambridge,Waltham,Nipper Maher,Scheduled
Game 93,07/31/2023,Monday,5:45 pm,Cambridge,Reading Black,Washington Park,Scheduled
Game 94,07/31/2023,Monday,5:45 pm,The Base,Reading Red,Morton Field,Scheduled
Game 95,07/31/2023,Monday,5:45 pm,Medford/North End,Brookline,Warren Field,Scheduled
Game 96,07/31/2023,Monday,5:45 pm,Woburn,Newton,Newton North High School,Scheduled
Game 92,07/31/2023,Monday,7:00 pm,Belmont/Watertown,Acton-Boxborough,ABRHS Field 1,Cancelled
Game 91,07/31/2023,Monday,7:45 pm,Billerica,Waltham,Cacciatore Field ,Scheduled
Game 97,08/01/2023,Tuesday,5:45 pm,Reading Black,Billerica,Locke - Boutwell Field,Scheduled
Game 98,08/01/2023,Tuesday,5:45 pm,Newton,Belmont/Watertown,Newton North High School,Scheduled
Game 100,08/01/2023,Tuesday,5:45 pm,Brookline,Woburn,Woburn High School,Scheduled
Game 101,08/01/2023,Tuesday,5:45 pm,Cambridge,The Base,English HS in JP,Scheduled
Game 102,08/01/2023,Tuesday,6:45 pm,Reading Red,Medford/North End,East Boston Memorial Stadium,Scheduled
Game 99,08/01/2023,Tuesday,7:45 pm,Acton-Boxborough,Waltham,Cacciatore Field,Cancelled
Game 44,08/02/2023,Wednesday,5:30 pm,Waltham,Reading Black,Washington Park,Scheduled
Game 60,08/02/2023,Wednesday,5:45 pm,Belmont/Watertown,Woburn,Woburn High School,Scheduled
Game 33,08/02/2023,Wednesday,7:00 pm,Medford/North End,Acton-Boxborough,ABRHS Field 1,Cancelled
Game 104,08/03/2023,Thursday,5:45 pm,Acton-Boxborough,Reading Black,Morton Field,Cancelled
Game 105,08/03/2023,Thursday,5:45 pm,Waltham,Reading Red,Morton Field,Scheduled
Game 106,08/03/2023,Thursday,5:45 pm,Billerica,Brookline,Warren Field,Scheduled
Game 108,08/03/2023,Thursday,5:45 pm,The Base,Belmont/Watertown,Belmont Hill School,Scheduled
Game 103,08/03/2023,Thursday,6:45 pm,Newton,Medford/North End,East Boston Memorial Stadium,Scheduled
Game 107,08/03/2023,Thursday,7:30 pm,Woburn,Cambridge,St Peters,Scheduled
Game 109,08/07/2023,Monday,12:00 am,8 Seed,1 Seed,"",Scheduled
Game 110,08/07/2023,Monday,12:00 am,5 Seed,4 Seed,"",Scheduled
Game 111,08/07/2023,Monday,12:00 am,7 Seed,2 Seed,"",Scheduled
Game 112,08/07/2023,Monday,12:00 am,6 Seed,3 Seed,"",Scheduled
Game 113,08/08/2023,Tuesday,12:00 am,Winner Game 109,Winner Game 110,Winner Advances to Final Four Saturday 8/12,Scheduled
Game 114,08/08/2023,Tuesday,12:00 am,Winner Game 111,Winner Game 112,Winner Advances to Final Four Saturday 8/12,Scheduled
Game 115,08/08/2023,Tuesday,12:00 am,Loser Game 109,Loser Game 110,Loser Eliminated,Scheduled
Game 116,08/08/2023,Tuesday,12:00 am,Loser Game 111,Loser Game 112,Loser Eliminated,Scheduled
Game 117,08/10/2023,Thursday,12:00 am,Loser Game 113,Winner Game 115,Winner Advances to Final Four Saturday 8/12,Scheduled
Game 118,08/10/2023,Thursday,12:00 am,Loser Game 114,Winner Game 116,Winner Advances to Final Four Saturday 8/12,Scheduled
Game 119,08/12/2023,Saturday,12:00 am,Lowest Remaining Seed,Highest Remaining Seed,Winners Advances to Championship Sunday,Scheduled
Game 120,08/12/2023,Saturday,12:00 am,2nd Lowest Remaining Seed,2nd Highest Remaining Seed,Winners Advances to Championship Sunday,Scheduled
Game 121,08/13/2023,Sunday,12:00 am,Winner Game 119,Winner Game 120,A Division Champion,Scheduled
